                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.0851,                0.10796,                 1.0031,                0.42909,                0.37656,                0.34405,                0.23366,                 1.0364,                0.09527,                0.98432,              0.0033325,              0.0033325,              0.0033325
                      1,                 1.0486,                0.07959,                0.98308,                0.39201,                0.23736,                0.20889,                0.14276,                 1.0231,                0.10004,                0.98403,              0.0065339,              0.0065339,              0.0065339
                      2,                 1.0601,                0.07894,                0.99423,                0.46878,                0.23795,                0.20683,                0.13905,                 1.0247,                0.10283,                0.99094,              0.0096032,              0.0096032,              0.0096032
                      3,                 1.0507,                0.07615,                0.99418,                0.46119,                0.31886,                0.27652,                0.18803,                 1.0204,                0.10552,                0.99101,               0.009406,               0.009406,               0.009406
                      4,                 1.0077,                0.06812,                0.97483,                0.41892,                0.36171,                0.31426,                0.21679,                  1.014,                0.10866,                0.98346,               0.009406,               0.009406,               0.009406
                      5,                0.98378,                0.06283,                0.96408,                0.43216,                0.40879,                0.35889,                0.24528,                 1.0127,                0.11229,                0.98421,               0.009208,               0.009208,               0.009208
                      6,                 0.9671,                0.05921,                0.95743,                 0.4635,                0.42798,                0.38008,                0.25819,                 1.0114,                0.11416,                0.98427,                0.00901,                0.00901,                0.00901
                      7,                0.95308,                 0.0559,                0.95153,                0.46653,                0.44005,                0.38228,                 0.2604,                 1.0114,                0.11548,                0.98422,               0.008812,               0.008812,               0.008812
                      8,                0.94302,                0.05395,                 0.9463,                0.47513,                0.44008,                0.38031,                0.25905,                 1.0113,                0.11668,                0.98419,               0.008614,               0.008614,               0.008614
                      9,                0.93304,                0.05218,                0.94194,                0.47354,                 0.4435,                0.38062,                0.25869,                 1.0116,                0.11797,                0.98434,               0.008416,               0.008416,               0.008416
                     10,                0.92837,                0.05079,                0.93992,                0.47788,                0.44086,                0.37919,                 0.2581,                 1.0118,                0.11858,                0.98431,               0.008218,               0.008218,               0.008218
                     11,                 0.9238,                0.04972,                0.93653,                0.48203,                0.43715,                0.37555,                 0.2556,                 1.0126,                0.11975,                0.98407,                0.00802,                0.00802,                0.00802
                     12,                0.91684,                0.04838,                0.93476,                0.47303,                0.43553,                0.37506,                0.25579,                 1.0135,                0.12082,                0.98463,               0.007822,               0.007822,               0.007822
                     13,                0.91102,                0.04742,                0.93269,                0.47591,                0.43708,                 0.3777,                0.25735,                 1.0148,                0.12213,                0.98556,               0.007624,               0.007624,               0.007624
                     14,                0.90558,                0.04658,                 0.9307,                0.47232,                0.43543,                0.37751,                0.25732,                 1.0157,                0.12304,                0.98596,               0.007426,               0.007426,               0.007426
